Id;X;Y
347;4.015281788351144e-01;1.806421385113692e-01
348;1.547924950275506e+00;4.572175907401062e-01
349;1.633907116876851e+00;7.163879811689267e-01
350;1.283463885598783e+00;5.044097404985585e-01
351;1.910251795116588e-01;4.553332197174453e-01
352;2.877974714420060e-01;5.222621440543902e-01
353;3.962628745986055e-01;8.097380085535307e-01
354;3.505895299554843e-01;7.304878890838692e-01
355;1.336322205220622e+00;7.213654113589284e-02
356;5.019151500495276e-01;9.356042615328103e-01
357;1.498080218678382e+00;6.439449534424027e-02
358;1.473870638276242e+00;1.846353106371524e-01
359;9.374389419410134e-01;4.999931039076005e-01
360;1.937438941941013e+00;4.999931039076005e-01
361;2.000000000000000e+00;6.875000000000000e-01
362;3.125000000000000e-01;1.000000000000000e+00
363;1.875000000000000e-01;1.000000000000000e+00
364;2.000000000000000e+00;5.625000000000000e-01
365;1.562500000000000e+00;0.000000000000000e+00
366;4.375000000000000e-01;1.000000000000000e+00
367;1.437500000000000e+00;1.000000000000000e+00
368;2.000000000000000e+00;3.125000000000000e-01
369;2.000000000000000e+00;4.375000000000000e-01
370;1.000000000000000e+00;8.125000000000000e-01
371;1.812500000000000e+00;0.000000000000000e+00
372;2.000000000000000e+00;1.875000000000000e-01
373;5.625000000000000e-01;0.000000000000000e+00
374;1.187500000000000e+00;0.000000000000000e+00
375;1.875000000000000e-01;0.000000000000000e+00
376;0.000000000000000e+00;1.875000000000000e-01
377;0.000000000000000e+00;5.625000000000000e-01
378;0.000000000000000e+00;6.875000000000000e-01
379;0.000000000000000e+00;8.125000000000000e-01
380;1.187500000000000e+00;1.000000000000000e+00
381;1.812500000000000e+00;1.000000000000000e+00
382;6.875000000000000e-01;0.000000000000000e+00
383;2.000000000000000e+00;8.125000000000000e-01
384;1.562500000000000e+00;1.000000000000000e+00
385;1.558234668014183e+00;5.578526254800559e-01
386;1.809964907511984e+00;8.751904713743415e-01
387;8.021696218581627e-01;6.612893947866073e-01
